Año;Serial;Evento;ADM1_CODE;ADM1;ADM2_CODE;ADM2;LUGAR;Fecha;Observaciones;Causa;Descripción de la Causa;Fuente;Magnitud;Número GLIDE;Otros sectores;Fichas;Muertos;Heridos;Desaparecidos;Viviendas Destruídas;Viviendas Afectadas;Damnificados;Afectados;Reubicados;Evacuados;Pérdidas $USD;Pérdidas $Local;Centros Educativos;Centros Médicos;Daños cultivos Ha
1992;1992-00011;STRONGWIND;15;RAAN;1503;Rosita;Barrios: 19 de Julio, Ana María, Bambanita y 20 de Mayo;1992/5/27;El datos de los afectados se dedujo de multiplicar por cinco las 64 casas afectadas y los damnificados de multiplicar por las dos casas destruidas totalmente.;ATMOSPHCONDITION;Vientos huracanados en Rosita.;La Prensa 1992-05-28;;;;1;;;;2;64;10;320;;;;;;;
1992;1992-00012;DROUGHT;14;Matagalpa;1411;San Dionisio;San Dionisio;1992/6/10;1400 pequeños agricultores afectados por la sequía, perdieron las semillas en la siembra de primera, por falta de lluvias no germinaron.;ATMOSPHCONDITION;Estación seca prolongada.;La Presa 1992-06-11 P.7;;;;1;;;;;;;1400;;;;;;;
1992;1992-00013;DROUGHT;14;Matagalpa;1410;Esquipulas;Municipio de Esquipulas;1992/6/10;Pequenos agrícultores perdieron las simillas en la siembra de primera, por la sequía no germinaron. No hay datos del número de afectados.;ATMOSPHCONDITION;Falta de lluvia en Esquipulas;La Prensa 1992-06-11 P.7;;;;1;;;;;;;;;;;;;;
1992;1992-00014;TSUNAMI;6;Managua;607;San Rafael del Sur;Poblados de Masachapa y Pochomil;1992/9/1;En Masachapa, el Tsunami dejó 16 fallecidos, la mayoría eran niños, en Pochomil 50 casitas de paja y madera fueron arrastadas por las olas, en Masachapa 30 viviendas destruidas, 50 lanchitas destruidas. Los datos de damnificados se dedujo de multiplicar por cinco las 80 casas destruidas.;EARTHQUAKE;Falla geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-02 P.1, P,2,09-04 P.2  P.10 Edición Especial;7.0;;;1;16;;;80;;400;;;;;;;;
1992;1992-00015;TSUNAMI;9;Carazo;904;Diriamba;Poblados de Cásares, la Boquita, Huehuete y Tupilapia.;1992/9/1;12 fallecidos en los balnearios de Casares, La Boquita, Huehuete y Tupilapia, 8000 damnificados, todas las casas que estaban frente al mar fueron destruidas en esta zona, no se refleja el numero de casas. El dato que aparece de dos casas casa destruidas es una foto del casino de Casares que refleja la fuente y el centro de acopio de los pescadores que está en la noticia .En la Boquita 50 pescadores fueron afectados se les destruyó 40 lanchas pesqueras, tenían los motores fuera de borda.;EARTHQUAKE;Falla geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-02 P.1,P.2,09-03 P.1,P.B Edición Especial;7;;;1;12;;;2;;8000;;;;10000;50000;;;
1992;1992-00016;TSUNAMI;10;Rivas;1009;San Juan del Sur;Poblados de San Juan del Sur, Marsella.;1992/9/1;En San Juan del 18 fallecidos, 200 damnificados, 17 desaparecidos, 42 heridos, la fuente no refleja si hay casas destruidas, ni afectados, solo dice que hay 200 damnificados. Estos son los datos que presenta.;EARTHQUAKE;Falla geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-03 P.1 P.B, 09-06 P.1D, P.12, 09-12 P.10 Edición Especial;7;;;1;18;42;17;;;200;;;;;;;;
1992;1992-00017;TSUNAMI;10;Rivas;1001;Tola;Popoyo, Playa Gigante, El Astillero, Santa Ana, Brito.;1992/9/1;En Salinas de Tola, en un lugar denominado Popoyo fallecieron 20 personas de estos 18 niños y dos adulto,  3 desaparecidos, los otros fallecidos no menciona lugar específico.Los datos de damnificados se dedujo de multiplicar por cinco 71 familias damnificadas. Datos que refleja la fuente.;EARTHQUAKE;Falla geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-03 P.1,P.B, 09-05 P.1,P.6;7.0;;;1;27;40;11;;;355;;;;;;;;
1992;1992-00018;TSUNAMI;4;Chinandega;411;Corinto;Islas Maderas Negra, Los Cocales, El Cardón, Monte Ralo, Hue;1992/9/1;Segun la fuente el Puerto de Corinto no sufrió daños, el agua se metió solo a una bodega de almacenamiento, los mayores daños lo sufieron las islitas y las comunidades, las 30 casas destruidas no especifica de que lugar son, dos muertos de El Puerto El Toro, dos pescadores desaparecidos, 95 autoevacuados de las islas. Los damnificados se dedujo de multiplicar por cinco las 30 casas destruidas.;EARTHQUAKE;Falla Geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-03 P.C Edición Especial;7.0;;;1;2;1;2;30;;150;;;95;;;;;
1992;1992-00019;TSUNAMI;5;León;508;León;Playas de Ponelya, Salinas Grande, Las Peñitas.;1992/9/1;La Prensa 1992-09-11 P.10. presenta informe de la Alcaldia de León, según evaluación de una comisión tecnica: perdidas en Poneloya, Salina Grande y las Peñitas por medio millón de dólares en las viivendas destruidas, no refleja cuantas viivendas, ni cuantos damnificados. 1992-09-04 P.2, nueve fallecidos en Poneloya y tres en las peñitas, la mayoría eran niños. 1992-09-08 P.7, Hotel Lacayo, lugar histórico de León, maremoto lo destruyó, este es el que se refleja como vivienda destruida en esta base de datos.;EARTHQUAKE;Falla Geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-04 P.2,09-08 P.7, 09-11 P.10;;;;1;12;1;;1;;;;;;500000;2500000;;;
1992;1992-00020;TSUNAMI;5;León;510;Nagarote;Centro Turístico El Transito;1992/9/1;En el Tránsito fallecieron 12 personas, 10 desaparecidos. Según la fuente, todas las casas que se extendían a lo largo de la costa fueron destruidas, no refleja cuantas casas, ni cuantos damnificados o afectados.;EARTHQUAKE;Falla Geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-04 P.2;7.0;;;1;12;;10;;;;;;;;;;;
1992;1992-00021;TSUNAMI;4;Chinandega;405;El Viejo;Centro Turístico Jiquilillo, El Portillo.;1992/9/1;"En Jiquilillo, 400 casas destruidas, 100 semidestruidas; en el Portillo, lo refleja como 500 personas damnificadas Los datos de damnificados de Ponelya se dedujo de multiplicar por cinco las 400 casas destruidas más las 100 que se dedujo de los 500 damnificados. Los datos de afectados se dedujo de multiplicar por cinco las 100 casas semidestruidas.";EARTHQUAKE;Falla Geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-04 P.10;7.0;;;1;1;;;500;100;2100;500;;;;;;;
1992;1992-00022;TSUNAMI;9;Carazo;907;Santa Teresa;Refugio de Vida Silvestre en las Playas de Chococente.;1992/9/1;El tsunami, asestó un duro golpe en las Playas de Chococente, Centro de Vida Silvestre, donde se refugian las tortugas paslasmas, especie en vía de extinsión. El mar se llevó 60 mil huevos que permanecían custodiados por miembros del Ejército de Nicaragua y brigadistas voluntarios.;EARTHQUAKE;Falla Geológica en el Lecho Marino del Océano Pacífico de Ni;La Prensa 1992-09-05 P.2;7.0;;;1;;;;;;;;;;;;;;
1992;1992-00023;FLOOD;6;Managua;605;Managua;Ciudad de Managua, barrio La Tejera.;1992/9/23;Cinco barrios de Managua sufrieron inundaciones, solo aparece el nombre de la Tejera con cinco casas inundadas afectando a 25 personas. Se presentó obstaculo en el tráfico vehícular por el desbordamiento en el cauce de El Porvenir.;OVERFLOW;Desbordamiento del cauce de El Provenir en Managua.;La Prensa 1992-09-24 P.16;;;;1;;;;;5;;25;;;;;;;
1992;1992-00024;STRONGWIND;3;Estelí;303;Estelí;Barrios: La Unión y Leonel Rugama.;1992/9/22;Los datos de afectados se dedujo de multiplicar por cinco las 35 viviendas afectadas.;ATMOSPHCONDITION;Vientos huracanados afectaron la ciudad de Estelí.;La Prensa 1992-09-23 P.3;;;;1;;;;;35;;175;;;;;;;
1992;1992-00025;FLOOD;11;Boaco;1106;San Lorenzo;Tecolostote;1992/10/4;Los datos de afectados y damnificados los refleja la fuente. También dice que fueron arrasados los cultivos de granos básicos, no aparece cantidad de los daños.;OVERFLOW;Cuatro ríos desbordados: Tecolostote, Las Lomas, Las Cañas y;La Prensa 1992-10-05 P.1;;;;1;;;;;;170;340;;;;;;;
1992;1992-00026;FLOOD;11;Boaco;1103;Camoapa;Ciudad de Camoapa;1992/10/5;En Camoapa cinco barrios inundados por desbordamiento de quebrada. En la carretera que se dirige a Camoapa, el río San Francisco desbordado impidió el paso de 30 vehículos por varias horas. La no refleja datos estadísticos.;OVERFLOW;Río San Francisco y quebrada la Chingastoza desbordados.;La prensa 1992-10-06 P.7;;;;1;;;;;;;;;;;;;;
1992;1992-00027;FLOOD;11;Boaco;1102;Boaco;Barrio El Chorizo y San Miguel;1992/10/5;Dos barrios inundados, casas llenas de lodo, letrinas desbordadas. La fuente no presenta datos del  número de afectados.;OVERFLOW;Desbordamiento del río Fonseca;La Prensa 1992-10-06 P.7;;;;1;;;;;;;;;;;;;;
1992;1992-00028;FLOOD;12;Chontales;1202;Juigalpa;Juigalpa;1992/10/5;El dato de personas afectadas se dedujo de multiplicar por cinco la vivienda afectada;OVERFLOW;Desbordamiento del río La Plata;La Prensa 1992-10-06 P.7;;;;1;;;;;1;;5;;;;;;;
1992;1992-00029;FLOOD;8;Granada;802;Diriomo;Comunidades: San Francisco, Mercedes Tisay, La Colonia, y el;1992/10/6;"La fuente refleja que hubo 342  personas afectadas por las inundaciones, 161 adultos y 182 ; 50 viviendas inundadas. En la Comarca el Guapinol, empalme de El Guanacaste en el  Kilómetro 53,  hubo un undimiento de tierra de un kilómetro de largo por dos metros de ancho y de metro y medio de profundidad.";RAIN;Lluvias intensas en Granada.;La Prensa 1992-10-07 P.16;;;;1;;;;;50;;333;;;;;;;
1992;1992-00030;FLOOD;11;Boaco;1106;San Lorenzo;Comunidades: La Penca, El Recreo, Los Cocos, Aguas Caliente,;1992/10/7;En las Comunidades de la Penca y el Reecreo 400 personas aisladas por el río Tecolostote. En los poblados de la Pita, Aguas Caliente y Los Cocos 59 familias compuesta por 390 personas afectadas por el río Malacatoya y las Lomas. Datos proporcionados por la fuente.;OVERFLOW;Desbordamiento de los ríos: Las Lomas, Tecolostote y Malacat;La Prensa 1992-10-08;;;;1;;;;;;;790;;;;;;;
1992;1992-00031;POLLUTION;5;León;510;Nagarote;Puerto Sandino, Planta Termoeléctrica Nicaragua.;1992/11/14;El derrame de 40 barriles de bunker cubrió un metro de árboles de manglares.;NEGLIGENCE;Falta medidas de control en los tanques de almacenaminto, so;La Prensa 1992-11-15 P.1,P.12;;;;1;;;;;;;;;;;;;;
1992;1992-00032;DROUGHT;4;Chinandega;;;Departamento de Chinandega;1992/12/1;En el Departamento de Chinandega se perdieron el 90% de los cultivos de granos básicos, 30 mil manzanas. También el ganado ha sido afectado por la sequía, han tenido que evacuarlo a otras regiones para que no se muera de sed y de hambre.;ATMOSPHCONDITION;Estación seca severa en el Occidente de Nicaragua.;La Prensa 1992-12-02 P.8;;;;1;;;;;;;;;;;;;;20966,88
1992;1992-00033;DROUGHT;8;Granada;;;En el Departamento de Granada;1992/12/1;En el departamento de Granada se perdieron  cuatro mil manzanas de granos básicos, arroz, frijol, sorgo y ajonjolí.;ATMOSPHCONDITION;Estación Seca Prolongada en Granada.;La Prensa 1992-12-02 P.10;;;;1;;;;;;;;;;;;;;2795,58
1993;1993-00001;DROUGHT;11;Boaco;1106;San Lorenzo;Río Tecolostote.;1993/1/2;Municipio de Tecolostote y comarcas tienen problemas con el abastecimiento de agua.;ATMOSPHCONDITION;Estación seca prolongada.;La Prensa 1993-01-03 P.2;;;;1;;;;;;;;;;;;;;
1993;1993-00002;DROUGHT;11;Boaco;1105;Teustepe;Comunidades: Acedades, Santa Rita, La Cuesta del Rosario, Ra;1993/1/18;En Teustepe 400 personas afectadas por la sequía.;ATMOSPHCONDITION;Estación seca prolongada.;La Prensa 1993-01-19 P.8;;;;1;;;;;;;400;;;;;;;
1993;1993-00003;FIRE;13;Jinotega;1307;Jinotega;Beneficio de café Trinchera, 2 kilómetros de Jinotega;1993/3/14;Se quemó un beneficio de café, dejando en el desempleo a varios trabajadores y pérdidas materiales, la fuente no registra datos estadísticos.La información de damnificados se dedujo multiplicar por cinco el beneficio quemado.;UNKNOWN;;La Prensa 1993-03-15 P.21;;;;1;;;;1;;5;;;;;;;;
1993;1993-00004;FORESTFIRE;14;Matagalpa;1407;San Ramón;Comunidad La Garita.;1993/3/25;En la comunidad la Garita, del Municipio de San Ramón, se quemarón 30 manzanas de café.;UNKNOWN;;La Prensa 1993-03-26 P.8;;;;1;;;;;;;;;;;;;;20,96
1993;1993-00005;DROUGHT;11;Boaco;1102;Boaco;Municipio de Boaco;1993/3/25;Pobladores de Boaco con probelmas de abastecimiento de agua, no hay registro de datos del número de afectados.;ATMOSPHCONDITION;Estación seca y deforestación en la zona de Boaco;La Prensa 1993-03-26 P.8;;;;1;;;;;;;;;;;;;;
1993;1993-00006;STRONGWIND;14;Matagalpa;1402;Río Blanco;Comunidades: El Sontolar y la Patriota.;1993/3/15;Los datos de damnificados se dedujo de multiplicar por cinco las tres casas destruidas y afectados de igual forma se dedujo de multiplicar por cinco las 21 casas afectadas.;ATMOSPHCONDITION;Vientos huracanados en Río Blanco.;La Prensa 1993-03-16 P.6;;;;1;;;;3;21;15;105;;;;;;;
1993;1993-00007;FORESTFIRE;4;Chinandega;412;Chichigalpa;Comunidades: Apastote, Versallers, Bella Vista, Argelia, La ;1993/4/23;300 manzanas de pino quemadas, incendió afectó la fuente de agua que se abastecen 5000 personas. Datos proporcionados por la fuente.;BEHAVIOR;Cazadores de la fauna silvestre.;La Prensa 1993-04-24 P.5;;;;1;;;;;;;5000;;;;;;;209,66
1993;1993-00008;STORM;5;León;510;Nagarote;Colegio Ricardo Morales Avilés.;1993/4/29;Fuertes vientos le arrancaron el techo al Colegio Ricardo Morales Avilés, varios cables de alta tensión se calleron por lo que se interrumpio la energía eléctrica.;ATMOSPHCONDITION;Fuertes aguaceros y vientos huracanados en Nagarote.;La Prensa 1993-04-30 P.8;;;;1;;;;;;;;;;;;1;;
1993;1993-00009;POLLUTION;10;Rivas;1008;Rivas;Río de Oro.;1993/5/19;Contaminación del río Oro en Rivas por las pilas de oxidación desbordadas.;BEHAVIOR;Falta de mantenimiento en las pilas de oxidación con las llu;La Prensa 1993-05-20 P.8;;;;1;;;;;;;;;;;;;;
1993;1993-00010;SPATE;6;Managua;606;Ticuantepe;Municipio de Ticuantepe;1993/5/9;15 familias afectadas por unindaciones. 2000 metros de adoquines arrastrados, en algunos tramos de carretera se habrieron zanjas hasta dos metros de anchos. Los datos de las personas efectadas se dedujo de multiplicar por cinco las viviendas afectadas.;OVERFLOW;Desbordamiento de cauces.;La Prensa 1993-05-10 P.1,05-12 P.2;;;;1;;;;;;;45;;;;;;;
1993;1993-00011;STORM;6;Managua;605;Managua;Mercado Oriental, barrio LaTejera;1993/5/9;Mercado Oriental inundado de basura y lodo,  fuertes correntadas, comerciantes perdieron mercadería, en el barrio La Tejera 106 familias evacuads, fuertes vientos arrancó zinc a los techos de las casas. Los datos de evacuados se dedujo de multiplicar por cinco las familias evacuadas, los datos afectados los refleja la fuente.;ATMOSPHCONDITION;Fuertes lluvias con vientos huracanados y tormentas en Manag;La Prensa 1993.05-10 P.1,P.14;;;;1;;;;;;;400;;530;;;;;
1993;1993-00012;SPATE;5;León;508;León;Barrio Carlos Fonseca;1993/5/30;Un niño murió ahogado, se cayó de un puente y fue arrastrado por las correintes de un cauce desbordado.;OVERFLOW;Desbordamiento de cauce;La Prensa 1993-05-31 P.1;;;;1;1;;;;;;;;;;;;;
1993;1993-00013;FLOOD;4;Chinandega;409;Chinandega;Municipio de Chinandega;1993/5/30;Varias comunidades del Municipio de Chinandega incomunicadas por inundaciones, solo se puede ingresar o salir por lancha. Carretera de transporte vehícular se convirtió en un lago.;OVERFLOW;Tres ríos desbordados, Negro, Gallo y Guasaule.;La Prensa 1993-05-31 P.1;;;;1;;;;;;;;;;;;;;
1993;1993-00014;EXPLOSION;6;Managua;605;Managua;Barrio Monseñor Lezcano;1993/6/4;Una persona murió al explotar un camión cisterna cuando lo estaban soldando, otra persona quedó herida.;BEHAVIOR;Taller de soldadura en casa particular sin medidas de seguri;La Prensa 1993-06-05 P.1;;;;1;1;1;;;;;;;;;;;;
1993;1993-00015;FLOOD;4;Chinandega;407;Somotillo;Palo Grande y Las Cuarenta.;1993/6/2;Extensas áreas de cultivos de granos básicos se perdieron por  inundaciones. Comunidades de Palo Grande y Las Cuareta incomunicadas. No hay datos de afectados.;OVERFLOW;Desbordamiento del río El Gallo;La Prensa 1993-06-03 P.1;;;;1;;;;;;;;;;;;;;
1993;1993-00016;FLOOD;5;León;508;León;Barrios: 18 de Agosto, Ma´rtires de Saragoza y repartoTangar;1993/6/4;Los datos de afectados se dedujo de multiplicar por cinco la 50 familas afectadas que reflejó la fuente.;RAIN;LLuvias intensas en Occidente de Nicaragua.;La Prensa 1993-06-05 P.3;;;;1;;;;;;;250;;;;;;;
1993;1993-00017;STORM;6;Managua;605;Managua;Barrios: Waspam, El Porvenir,;1993/6/16;Descarga eléctrica le causó la muerte a un niño. Cauce el provenir se desbordó ocasinando atascamiento de vehículos sobre la pista principal. La fuente no revela datos de los afectados.;ATMOSPHCONDITION;Intensas lluvias, descargas eléctricas, cauces desbordados.;La Prensa 1993-06-17 P.1,P.16;;;;1;1;;;;;;;;;;;;;
1993;1993-00018;FLOOD;10;Rivas;1010;Cárdenas;Ochomogo, San Roque, Las Lajas, Picapica, el Mango, Amparo;1993/7/2;Municipio de Cardenas aislado, destrucción de siete puentes en la carretera. En la comunidad de San Roque 18 casas afectadas, destrucción en los coultivos de granos básicos. Los datos de afectados se obtuvo de multiplicar por cinco las viviendas afectadas.;OVERFLOW;Desbordamiento del río Las Lajas en la comunidad de San Roqu;La Prensa 1993-07-03 P.1,P.2;;;;1;;;;;18;;90;;;;;;;
1993;1993-00019;SPATE;1;Nueva Segovia;103;El Jicaro;Entre El Jícaro y Ocotal;1993/7/7;200 kilómetros de carreteras destruidas entre el Jícaro y Ocotal por avenidas torrenciales causadas por desbordamientos de ríos.;OVERFLOW;Desbordamientos de ríos sobre la carretera al Jícaro.;La Prensa 1993-07-08 P.1,P.12;;;;1;;;;;;;;;;;;;;
1993;1993-00020;FLOOD;1;Nueva Segovia;101;Jalapa;Comunidad de Santa Clara;1993/7/7;En la comunidad de Santa Clara, la carretera está cortada, zanjones de lodo impiden el tráfico vehícular.;RAIN;Intensas lluvias en el Norte de Nicaragua.;La Prensa 1993-07-08 P.1,P.12;;;;1;;;;;;;;;;;;;;
1993;1993-00021;FIRE;2;Madriz;207;San Lucas;Muniipio de San Lucas;1993/7/28;Dos niños murieron carbonizados en un incendio que se produjo en la vivienda  de bambú donde habitaban.;UNKNOWN;;La Prensa 1993-07-29 P.5;;;;1;2;;;1;;5;;;;;;;;
1993;1993-00022;FLOOD;16;RAAS;1604;El Rama;Ciudad Rama;1993/8/10;La ciudad El Rama inundado, 9581 afectados, la mayor parte de la ciudad fue evacuada. La fuente no refleja el número de evacuados. En la ciudad solo se puede circular en pangas.;OVERFLOW;Desbordamiento del Río Escondido.;La Prensa 1993-08-11 P.16,08-13 P.1;;;;1;;;;;;;9581;;;;;;;
1993;1993-00023;FLOOD;15;RAAN;1507;Prinzapolka;Municipio de Prinzapolka;1993/8/12;Trece  comunidades de Prinzapolka  afectadas por las inundaciones. Datos reflejados por la fuente.;RAIN;Lluvias intensas en la RAAN.;La Prensa 1993-08-13 P.14;;;;1;;;;;;;3000;;305;;;;;
1993;1993-00024;TORNADO;5;León;508;León;Reparto Rubén Darío;1993/8/23;Un Tornado afectó 20 casas en León y lesionó a ocho personas. Los datos de afectados se dedujo de multiplicar por cinco las 20 casas afectadas.;ATMOSPHCONDITION;;La Prensa 1993-08-24;;;;1;;8;;;20;;100;;;;;;;
1993;1993-00025;LANDSLIDE;11;Boaco;1106;San Lorenzo;Zona de Tecolostote: Quebrada Seca, Cerros Peñas Blanca y Ca;1993/9/13;Ciinco personas fallecieron producto de dos derrumbes del Cerro Peñas Blanca y Capullín en el poblado de Quebrada Seca, 468 adultos afectados, 105 niños, 18 viviendas destruidas. Los datos de damnificados se dedujo de multiplicar por cinco las viviendas destruidas. Los otros datos los refleja la fuente.;RAIN;Intensas lluvias y desforestación en la zona de Tecolostote.;La Prensa 1993-09-14;;;;1;5;;;18;;90;573;;;;;;;
1993;1993-00026;LANDSLIDE;16;RAAS;1612;Paiwas ;Cerro Wawa, ubicado entre la carretera Río Blanco y Bocana d;1993/9/29;Se derrumbó el cerro Wawa afectado a 3000 peronas por aislamiento, 1500 niños con problemas de alimentación, cinco kilómetros de carretera bloqueadas con toneladas de lodo y piedra. Los datos de damnificados se obtuvo demultiplicar las 20 casas por cinco. Los otros datos los reflejó la fuente.;Depresión tropical;Intensas lluvias y desforestación en la zona de Paiwas.;La Prensa 1993-09-30 P.1,P.16;;;;1;;;;20;;100;3000;;;;;;;6988,96
1993;1993-00027;SPATE;11;Boaco;1102;Boaco;Comunidades: Lagarto Rojos y el Recreo.;1993/9/16;Dos personas fallecieron por ahogamiento. una en la Comunidad de Lagarto Rojo y la otra en la comunidad El Recreo. Derrumbes en la carretera panamericana.;OVERFLOW;Desbordamiento del río San José de Murras y río Fonseca.;La Prensa 1993-09-17 P.1,P.14;;;;1;2;;;;;;;;;;;;;
1993;1993-00028;FLOOD;16;RAAS;1604;El Rama;La ciudad de El Rama;1993/9/16;Ciudad de El Rama cubierta por el agua.120 casas cubiertas en su totalidad por el agua. el 80 % de la población tiene sus casas inundadas, pobladores se suben a los árboles para sobrevivir, animales domésticos muertos, letrinas y pozos inundados. Los datos de damnificados se dedujo de multiplicar por cinco las 120 casas inundadas en su totalidad.;OVERFLOW;Tres ríos desbordados, Siquia, Mico y Rama;La Prensa 1993-09-17 P.1,P.14;;;;1;;;;120;;600;;;;;;;;
1993;1993-00029;LANDSLIDE;14;Matagalpa;1402;Río Blanco;Municipio de Río Blanco;1993/9/16;Una persona fallecida al caerle un muro de concreto encima, carretera cortada por derrumbes que obstaculizan el pase vehícular, cables de alta tensión caídos, pobados sin fluido eléctrico.;Tormenta tropical;Tormenta Tropical Gert.;La Prensa 1993-09-17 P.14;;;;1;1;;;;;;;;;;;;;
1993;1993-00030;SPATE;13;Jinotega;1301;Wiwilí;Comarca El Maleconcito;1993/9/17;Seis personas fallecidas por ahogamiento.;OVERFLOW;Desbordamiento de ríos y quebradas.;La Prensa 1993-09-18 P.1,P.14;;;;1;6;;;;;;;;;;;;;
1993;1993-00031;FLOOD;14;Matagalpa;1406;Matagalpa;Barrio El Apante;1993/9/17;Una casa se derrumbó provocandole la muerte a una señora, 200 casas afectadas por inundaciones, caminos y carreteras destruidos, cultivos dañados de tanata lluvia. Los datos de afectados se dedujo de multiplicar por cinco las 200 casas afectadas.;Tormenta tropical;Tormenta Tropical Gert.;La Prensa 1993-09-18 P.1,P.14;;;;1;;;;1;200;5;1000;;;;;;;
